neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
Oostelijk Havengebied - Indische Buurt;5.235.938;493.618;Private room;64;5;40;0;0
Oud-Noord;5.239.319;49.435;Private room;59;4;104;88;7
Oud-Oost;5.235.719;492.193;Private room;115;1;141;278;18
Oud-Oost;5.235.719;492.193;Private room;79;1;187;276;16
Centrum-Oost;5.237.141;490.353;Entire home/apt;135;3;56;50;0
De Baarsjes - Oud-West;5.236.495;487.367;Entire home/apt;399;2;92;0;10
Noord-Oost;523.809;496.522;Private room;75;2;502;279;47
De Baarsjes - Oud-West;5.236.055;48.532;Entire home/apt;120;4;24;167;1
Zuid;5.234.008;485.133;Entire home/apt;195;7;7;37;2
Oud-Noord;5.238.295;49.152;Entire home/apt;159;5;62;0;4
De Baarsjes - Oud-West;5.236.104;485.778;Private room;187;3;5;35;5
Noord-Oost;5.239.508;499.186;Private room;77;2;154;339;28
Bos en Lommer;5.237.704;484.606;Private room;74;3;38;0;0
Centrum-Oost;5.236.101;489.042;Entire home/apt;150;2;68;10;11
Westerpark;5.238.069;486.826;Entire home/apt;124;3;138;1;14
De Baarsjes - Oud-West;5.237.154;4.852;Private room;100;3;200;0;25
De Pijp - Rivierenbuurt;5.235.781;490.529;Entire home/apt;186;3;36;35;2
Westerpark;5.238.919;488.846;Entire home/apt;220;1;7;0;0
Centrum-Oost;5.236.541;492.481;Private room;89;2;599;225;69
De Aker - Nieuw Sloten;5.234.255;480.578;Shared room;50;3;38;0;0
Geuzenveld - Slotermeer;5.238.277;480.351;Entire home/apt;100;5;5;0;2
Centrum-West;5.238.598;489.164;Private room;135;2;379;201;48
De Baarsjes - Oud-West;5.236.239;486.202;Entire home/apt;150;2;31;0;0
Bos en Lommer;5.237.591;48.479;Private room;81;28;271;20;29
De Pijp - Rivierenbuurt;5.235.229;489.105;Entire home/apt;250;21;45;74;2
Bos en Lommer;5.237.563;485.014;Entire home/apt;115;3;136;3;5
Centrum-West;5.237.938;489.036;Private room;155;3;69;0;0
Westerpark;5.237.993;48.683;Private room;139;1;90;241;16
De Pijp - Rivierenbuurt;5.234.903;489.508;Entire home/apt;130;7;69;27;3
De Pijp - Rivierenbuurt;5.235.102;489.063;Entire home/apt;228;2;75;0;16
De Baarsjes - Oud-West;523.603;486.692;Entire home/apt;155;2;82;92;12
Centrum-Oost;52.361.286;4.893.265;Private room;342;3;48;28;14
Westerpark;5.238.459;488.058;Entire home/apt;108;3;78;1;7
Centrum-West;5.237.004;488.501;Private room;129;3;276;263;35
Centrum-West;5.237.638;488.217;Entire home/apt;195;2;85;217;11
Westerpark;5.237.943;487.031;Entire home/apt;343;5;4;51;3
Geuzenveld - Slotermeer;5.238.399;483.583;Private room;83;4;275;316;26
Centrum-West;5.237.862;489.181;Entire home/apt;250;3;36;68;0
Zuid;523.481;485.904;Entire home/apt;285;2;26;0;0
Oostelijk Havengebied - Indische Buurt;5.236.252;494.962;Private room;75;1;145;354;4
De Baarsjes - Oud-West;5.236.992;485.379;Entire home/apt;103;3;35;1;2
Centrum-West;5.237.016;4.885;Private room;139;3;250;230;32
De Baarsjes - Oud-West;5.237.233;485.786;Entire home/apt;79;30;3;99;0
Centrum-West;523.798;488.726;Entire home/apt;455;2;128;8;5
Bos en Lommer;523.825;485.645;Private room;45;4;45;2;2
De Pijp - Rivierenbuurt;523.552;489.161;Entire home/apt;450;4;249;186;25
Centrum-West;5.237.886;488.723;Entire home/apt;314;4;56;243;4
Centrum-West;5.237.633;489.259;Entire home/apt;170;3;69;0;3
Oostelijk Havengebied - Indische Buurt;5.236.333;493.846;Entire home/apt;66;3;28;2;1
Oud-Oost;5.234.933;491.314;Entire home/apt;100;3;43;0;1
De Pijp - Rivierenbuurt;5.234.292;489.445;Private room;90;2;297;298;22
Zuid;5.234.736;487.546;Private room;88;1;437;44;43
Zuid;5.236.079;488.298;Entire home/apt;475;5;69;249;5
De Baarsjes - Oud-West;5.236.566;487.717;Entire home/apt;51;2;58;0;0
Oostelijk Havengebied - Indische Buurt;5.237.074;495.286;Entire home/apt;115;2;3;0;0
Centrum-Oost;5.236.063;489.241;Entire home/apt;397;3;54;0;6
Centrum-Oost;5.236.307;489.709;Entire home/apt;125;5;8;0;1
De Baarsjes - Oud-West;5.235.811;485.707;Entire home/apt;119;6;12;0;0
De Baarsjes - Oud-West;5.236.645;485.563;Entire home/apt;155;7;0;0;0
Centrum-West;5.237.976;488.293;Entire home/apt;100;15;25;0;0
Centrum-West;523.798;489.058;Private room;123;2;407;67;29
Zuid;5.235.466;488.464;Entire home/apt;200;7;16;28;0
